property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,imperia the esfera,sector 37,0.87,5513.0,2.0,3,3+,9.0,New Property,1503.0,0,0,0,0,0,0,49,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,dlf new town heights,sector 90,1.42,4864.0,4.0,4,3+,8.0,Moderately old,2251.0,0,0,0,0,0,0,31,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,dlf new town heights,sector 86,1.3,6735.0,3.0,3,3,15.0,Relatively New,1715.0,0,0,0,0,0,2,49,"28.3986° N, 76.9384° E",28.3986,76.9384
house,ganpati heights apartment,sector 13,1.25,12077.0,3.0,6,2,3.0,Old Property,115.0,0,0,0,0,1,0,7,"28.4757° N, 77.0392° E",28.4757,77.0392
flat,indiabulls enigma,sector 110,4.1,10567.0,5.0,5,2,10.0,Relatively New,3500.0,0,0,0,0,0,0,159,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,dlf new town heights,sector 86,1.4,5942.0,4.0,4,3+,20.0,Relatively New,2244.0,0,0,0,0,0,0,65,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,tulip violet,sector 69,1.66,10134.0,3.0,3,2,0.0,Relatively New,1560.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,emaar mgf emerald floors premier,sector 65,3.0,15189.0,4.0,4,3+,2.0,Relatively New,1975.1,0,0,0,0,0,0,87,"28.4030° N, 77.0690° E",28.403,77.069
house,huda floor,sector 38,4.0,8333.0,9.0,9,3+,2.0,Relatively New,4800.0,0,0,1,1,0,2,152,"28.4347° N, 77.0430° E",28.4347,77.043
flat,ambience creacions,sector 22,3.5,19444.0,3.0,4,3+,8.0,New Property,2000.0,0,0,0,0,0,2,57,"28.5072° N, 77.0640° E",28.5072,77.064
flat,emaar palm gardens,sector 83,1.8,9474.0,3.0,4,0,9.0,Relatively New,1900.0,0,0,0,0,0,0,55,"28.3986° N, 76.9647° E",28.3986,76.9647
