property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category
flat,sector 48,0.25,2.0,2,1,Relatively New,587.0,0,0,0,Low,Low Floor
flat,sector 92,0.9,4.0,5,3+,Relatively New,1900.0,0,0,0,Low,Mid Floor
flat,sector 102,1.35,3.0,3,3,Relatively New,1354.0,0,0,0,Medium,Mid Floor
house,sector 7,2.0,2.0,2,2,Old Property,1440.0,0,0,0,Low,Low Floor
flat,sector 63,7.52,4.0,4,3,Relatively New,3956.0,0,0,0,Medium,High Floor
house,sector 50,9.8,4.0,4,3,Moderately old,3239.93,1,0,0,Low,Low Floor
flat,sector 57,5.5,5.0,6,3+,Moderately old,5010.0,0,0,2,High,High Floor
flat,sector 82,0.94,2.0,2,2,Relatively New,1367.0,0,0,2,Medium,High Floor
flat,sector 71,1.0,1.0,1,1,Moderately old,869.0,0,0,0,Low,Mid Floor
flat,sector 77,1.1,3.0,4,3+,Relatively New,1878.0,0,0,0,Low,Mid Floor
flat,sector 48,0.46,2.0,2,2,Relatively New,800.0,0,0,1,Medium,Mid Floor
flat,sector 109,2.25,3.0,4,3,Relatively New,2462.0,0,0,0,Medium,High Floor
flat,sector 54,6.75,4.0,6,3+,Moderately old,2455.0,0,0,2,Medium,High Floor
flat,sector 85,1.3,2.0,2,3+,Relatively New,1445.0,0,0,0,Medium,High Floor
flat,sector 102,1.98,3.0,3,3+,Relatively New,2222.0,0,0,2,Medium,Mid Floor
house,sector 7,0.45,3.0,2,1,Old Property,562.0,0,0,0,Low,Low Floor
flat,sector 95,0.3,2.0,2,1,New Property,950.0,0,0,0,Low,High Floor
flat,sector 65,2.85,4.0,4,3,Relatively New,2194.0,0,0,0,Low,Mid Floor
house,sector 67,8.0,6.0,7,3+,Moderately old,3600.0,1,0,2,Low,High Floor
flat,sector 82,0.81,2.0,2,2,Relatively New,1238.0,0,0,2,Medium,High Floor
flat,sector 68,0.93,2.0,2,2,New Property,1200.0,0,0,0,Low,High Floor
flat,sector 67,1.0,1.0,1,1,Relatively New,826.0,0,0,0,Low,High Floor
flat,sector 85,1.98,3.0,4,3,Relatively New,2300.0,0,0,0,Low,Mid Floor
flat,sector 113,2.78,3.0,3,3,New Property,2599.0,0,0,0,High,Mid Floor
house,sector 105,0.35,2.0,2,1,Moderately old,556.0,0,0,0,Low,Low Floor
flat,sector 1,0.9,3.0,3,3,Old Property,1900.0,0,0,1,Low,Low Floor
flat,sector 66,2.4,3.0,2,3,Relatively New,1700.0,0,0,2,High,Mid Floor
flat,sector 92,2.0,4.0,5,3+,Relatively New,2512.0,0,0,2,Medium,High Floor
flat,sector 99,3.25,4.0,4,3+,New Property,3200.0,0,0,0,Medium,Low Floor
flat,sector 90,1.15,3.0,3,3+,Relatively New,1731.0,0,0,2,Medium,High Floor
house,sector 46,3.5,4.0,4,2,Relatively New,1625.35,0,0,2,Low,Low Floor
house,sector 106,0.85,1.0,5,3+,New Property,600.0,0,0,0,Low,Mid Floor
house,sector 2,2.55,3.0,3,2,Old Property,1560.77,0,0,0,Low,Low Floor
flat,sector 62,2.45,2.0,2,2,New Property,1200.0,0,0,1,High,Mid Floor
flat,sector 22,2.55,3.0,3,3,Relatively New,1860.1,0,0,2,Medium,Mid Floor
flat,sector 89,1.7,3.0,3,3+,Under Construction,1944.0,0,0,0,Medium,Mid Floor
flat,sector 72,3.5,4.0,5,3+,Relatively New,2625.0,0,0,0,Low,High Floor
house,sector 25,6.25,5.0,5,3,Moderately old,1800.0,1,0,2,Medium,Low Floor
flat,sector 90,1.27,4.0,5,2,New Property,2310.0,0,0,0,Medium,Mid Floor
house,sector 26,23.0,4.0,4,3+,Relatively New,9000.0,1,1,2,Medium,Low Floor
house,sector 109,7.0,5.0,6,2,Relatively New,5400.0,1,0,0,High,Low Floor
house,sector 56,8.0,10.0,10,3+,Relatively New,8286.0,1,0,1,Medium,Mid Floor
flat,sector 9,1.25,4.0,3,3,Old Property,2007.0,0,0,0,Low,Low Floor
flat,sector 68,1.2,2.0,2,3,Relatively New,1012.0,0,0,1,Medium,Low Floor
flat,sector 88,0.45,2.0,2,1,New Property,695.0,0,0,0,Low,Mid Floor
house,sector 48,1.05,3.0,3,3,Moderately old,1484.0,0,0,0,Low,Mid Floor
flat,sector 99,0.4,2.0,2,2,New Property,755.0,0,0,0,Medium,Mid Floor
flat,sector 81,2.25,3.0,4,3+,Relatively New,2300.0,0,0,2,Medium,Mid Floor
flat,sector 72,3.3,3.0,3,3+,Relatively New,2000.0,0,0,2,High,Mid Floor
house,sector 43,5.5,8.0,7,3+,Moderately old,2850.0,1,0,2,Medium,Mid Floor
house,sector 48,0.07,1.0,1,0,Relatively New,297.0,0,0,0,Low,Low Floor
house,sector 39,7.0,10.0,11,3+,Relatively New,7000.0,0,0,2,Low,Mid Floor
house,sector 41,1.65,1.0,1,0,Moderately old,1200.0,0,0,0,Low,Low Floor
house,sector 70,4.6,4.0,4,3+,Moderately old,2610.0,1,1,0,Medium,Mid Floor
flat,sector 67,3.4,3.0,4,3,Relatively New,2178.0,0,0,2,Medium,High Floor
flat,sector 2,0.6,1.0,1,1,Moderately old,700.0,0,0,2,Medium,Mid Floor
flat,sector 36,4.1,3.0,4,3,New Property,2820.0,0,0,1,Low,High Floor
flat,sector 48,0.75,2.0,2,2,Moderately old,1350.0,0,0,0,Medium,Mid Floor
