property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,Chimney,Modular Kitchen,Microwave,AC,Geyser,Bed,Light,Dining Table,Stove,Sofa,Water Purifier,Fridge,Curtains,Exhaust Fan,TV,Wardrobe,Fan,Washing Machine,furnishing_type,luxury_score
house,unitech espace,sector 50,7.45,34491.0,2163.54,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,3,3.0,,Old Property,,4500.0,4000.0,0,1,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,1,1,0,4,8,0,1,59
house,sector 14 rwa,sector 14,6.5,26000.0,2497.22,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,Moderately old,,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flat,dlf the icon,sector 43,6.0,26086.0,2300.1,Carpet area: 2300 (213.68 sq.m.),4,4,3+,18.0,North-East,Old Property,,,2300.0,0,0,0,0,0,1,0,0,7,5,0,11,0,0,0,0,0,0,1,0,0,1,0,1,150
house,emaar the palm springs,sector 54,14.0,62222.0,2249.66,Plot area 250(209.03 sq.m.),4,5,3+,2.0,North,Old Property,,2250.0,,1,1,0,0,0,1,1,0,8,5,0,19,0,0,0,0,0,0,1,0,0,5,1,1,160
flat,pioneer araya,sector 62,9.14,19488.0,4690.1,Super Built up area 4690(435.72 sq.m.)Carpet area: 3258 sq.ft. (302.68 sq.m.),4,6,3,16.0,East,Relatively New,4690.0,,3258.0,0,0,0,0,0,1,1,0,5,0,0,20,0,0,0,0,0,0,1,0,4,8,0,1,146
house,independent,sector 43,5.5,2716.0,1937.5,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),8,7,3+,3.0,East,Moderately old,,2850.0,2250.0,1,1,0,1,1,4,1,0,0,10,0,30,0,1,0,0,0,0,1,0,8,10,0,1,123
house,independent,sector 48,5.5,5093.0,10796.19,Plot area 1200(1003.35 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),3,3,3+,2.0,West,Moderately old,,3500.0,,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,49
house,independent,sector 46,5.65,23870.0,2368.06,Plot area 263(219.9 sq.m.),8,6,3+,3.0,South-West,Moderately old,,2367.0,,0,1,0,0,0,1,1,0,0,0,0,50,0,0,0,0,0,0,1,0,8,12,0,1,67
house,independent,sector 14,8.0,17707.0,4520.84,Plot area 502(419.74 sq.m.),12,4,3+,3.0,North,Old Property,,4518.0,,0,1,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,32
house,uppal southend,sector 49,6.75,32328.0,2088.2,Built Up area: 232 (193.98 sq.m.),4,4,3,3.0,West,Relatively New,,232.0,,0,1,0,0,0,0,1,0,0,12,0,49,0,0,0,0,0,0,1,0,12,20,0,1,26
house,independent,sector 14,7.5,16600.0,4520.84,Plot area 502(419.74 sq.m.),3,3,2,1.0,West,Old Property,,4518.0,,1,1,0,1,0,0,1,0,0,3,0,9,0,0,0,0,0,0,1,0,7,6,0,1,27
house,independent,sector 26,10.5,43210.0,2723.27,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),12,12,3+,4.0,North-East,Relatively New,,300.0,270.0,0,1,0,1,0,1,1,1,12,16,0,62,0,1,0,1,0,0,1,0,21,20,0,1,72
house,unitech uniworld resorts,sector 33,11.0,26667.0,4499.31,Plot area 500(418.06 sq.m.),5,6,3,3.0,,New Property,,4500.0,,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,0,0,58
house,independent,sector 56,8.0,9654.0,365.97,Plot area 362(33.63 sq.m.)Built Up area: 8286 sq.ft. (769.79 sq.m.),10,10,3+,4.0,,Relatively New,,8286.0,,1,1,0,1,0,1,1,1,15,10,10,40,1,1,1,1,1,1,1,10,12,12,1,2,107
house,dlf city plots phase 2,sector 25,15.5,34307.0,4520.84,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately old,,4518.0,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,144
flat,elevate,sector 50,6.75,19882.0,3395.0,Built Up area: 3395 (315.41 sq.m.),4,4,0,10.0,,Undefined,,3395.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,sector 26,26.0,82540.0,3616.67,Plot area 402(336.12 sq.m.)Built Up area: 400 sq.yards (334.45 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),16,16,3+,4.0,North-West,New Property,,400.0,350.0,1,1,1,1,0,1,1,1,26,20,0,21,0,1,0,1,0,1,1,0,26,26,0,1,72
house,vipul tatvam villa,sector 48,7.69,24069.0,3196.88,Plot area 355(296.83 sq.m.),4,5,3,2.0,North-West,Moderately old,,3195.0,,1,1,1,1,0,1,1,0,9,6,0,8,0,1,0,0,0,0,1,0,4,0,0,1,110
flat,central park resorts,sector 48,11.25,28266.0,3980.0,Carpet area: 3980 (369.75 sq.m.),4,5,3+,2.0,North-West,Relatively New,,,3980.0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,45
house,independent,sector 2,5.7,22634.0,2432.64,Plot area 270(225.75 sq.m.),9,9,3+,3.0,North-East,Moderately old,,2430.0,,0,0,0,1,0,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,9,10,0,1,0
house,independent,sector 50,7.0,32407.0,2163.54,Built Up area: 240 (200.67 sq.m.),3,2,0,1.0,,Undefined,,240.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
house,vipul tatvam villa,sector 48,7.25,27971.0,2594.1,Plot area 288(240.8 sq.m.),3,4,2,2.0,South,Moderately old,,2592.0,,1,1,1,1,0,1,1,0,6,4,0,36,0,0,0,1,0,0,1,0,4,12,0,1,115
house,unitech aspen greens,sector 50,6.95,4490.0,2163.54,Plot area 240(200.67 sq.m.)Built Up area: 2160 sq.yards (1806.04 sq.m.)Carpet area: 1720 sq.yards (1438.14 sq.m.),3,3,1,2.0,North-East,Moderately old,,2160.0,1720.0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,160
