property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score
house,international city by sobha phase 2,sector 109,5.65,10463.0,5403.48,Plot area 600(501.68 sq.m.),4,4,3+,2.0,North-East,New Property,,5400.0,,0,1,0,0,1,2,44
house,unitech espace,sector 50,7.45,34491.0,2163.54,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,3,3.0,,Old Property,,4500.0,4000.0,0,1,0,0,0,2,59
house,independent,sector 26,9.0,33333.0,2701.74,Plot area 300(250.84 sq.m.),5,5,2,3.0,South-West,Old Property,,2700.0,,1,1,1,1,0,1,110
flat,central park resorts,sector 48,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,10.0,North-East,Moderately old,3931.0,3831.0,3731.0,0,0,0,0,0,2,67
flat,vipul belmonte,sector 53,6.5,21922.0,2965.1,Super Built up area 2965(275.46 sq.m.),3,4,3+,0.0,,Old Property,2965.0,,,0,0,0,0,0,0,72
house,independent,sector 43,9.85,29638.0,3767.36,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,Old Property,,3762.0,,1,1,0,1,0,0,21
house,unitech nirvana birch court,sector 50,7.1,283333.0,236.81,Plot area 240(22.3 sq.m.),3,3,3,1.0,East,Moderately old,,240.0,,0,1,0,0,0,0,49
house,international city by sobha phase 2,sector 109,6.2,25514.0,2432.64,Plot area 270(225.75 sq.m.),5,5,2,2.0,South-West,Relatively New,,2430.0,,0,1,0,0,0,0,135
house,independent,sector 39,15.0,33333.0,4499.31,Plot area 500(418.06 sq.m.),5,5,3+,4.0,,Moderately old,,4500.0,,0,1,0,0,0,2,27
house,dlf city plots phase 2,sector 25,10.0,400000.0,247.57,Plot area 250(23.23 sq.m.),12,12,3+,4.0,North,Relatively New,,250.0,,1,1,0,0,0,2,114
house,independent,sector 43,9.5,42222.0,2723.27,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,2.0,North-East,Relatively New,,300.0,250.0,0,1,0,1,0,2,88
flat,tata primanti,sector 72,6.5,15294.0,4250.0,Super Built up area 4250(394.84 sq.m.),4,4,3+,0.0,East,Relatively New,4250.0,,,0,0,0,0,0,0,67
flat,mm golfestate,sector 65,6.15,15998.0,3844.2,Carpet area: 3844 (357.12 sq.m.),3,5,3+,1.0,West,Relatively New,,,3844.0,0,0,0,0,0,1,49
house,dlf city plots,sector 26,18.0,39841.0,4520.84,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,0,1,0,1,1,2,49
flat,central park resorts,sector 48,15.0,22388.0,6700.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,,Relatively New,,,6700.0,0,0,0,0,0,1,45
flat,central park resort belgravia residences,sector 48,6.25,24300.0,2572.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,5.0,South-East,Moderately old,,,2880.0,0,0,0,0,0,2,49
house,independent,sector 26,6.0,33333.0,1797.57,Plot area 200(167.23 sq.m.),8,5,3+,3.0,,Old Property,,1800.0,,0,0,0,0,0,2,9
flat,lagoon apartment,sector 24,6.0,13636.0,4400.1,Carpet area: 4400 (408.77 sq.m.),4,6,3+,7.0,,Moderately old,,,4400.0,0,0,0,0,0,0,0
house,ss aaron ville,sector 49,6.5,18808.0,3455.21,Plot area 384(321.07 sq.m.),5,5,2,2.0,North-East,Relatively New,,3456.0,,1,1,0,1,0,2,28
flat,dlf the crest,sector 54,11.0,35222.0,3123.0,Super Built up area 3123(290.14 sq.m.),4,6,3,7.0,,Relatively New,3123.0,,,0,0,0,0,0,1,125
house,independent,sector 41,11.0,33951.0,3239.93,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,New Property,,3240.0,,1,1,0,1,0,0,35
house,dlf city plots phase 2,sector 25,15.5,34307.0,4520.84,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately old,,4518.0,,1,1,1,1,0,0,144
house,independent,sector 56,11.5,42032.0,2734.03,Plot area 304(254.18 sq.m.),12,13,3+,4.0,West,Relatively New,,2736.0,,1,1,0,1,0,2,49
house,emaar mgf marbella,sector 66,9.0,21251.0,5607.99,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4,4,3+,1.0,South-West,Relatively New,,5200.0,4235.0,0,1,1,1,0,2,114
flat,experion windchants,sector 112,5.49,11584.0,4739.3,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,5,3+,5.0,South,Relatively New,4739.0,3655.35,,0,0,0,0,0,2,168
house,independent,sector 45,16.0,35000.0,4499.31,Plot area 500(418.06 sq.m.),6,7,3+,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,2,105
house,independent,sector 46,5.5,23061.0,2389.59,Plot area 265(221.57 sq.m.),8,8,3+,3.0,,Moderately old,,2385.0,,1,0,0,0,1,2,32
flat,suncity platinum towers,sector 28,7.0,22222.0,3150.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 1913 sq.ft. (177.72 sq.m.),4,3,2,10.0,North,Moderately old,3150.0,,1913.0,0,0,0,0,0,0,31
house,unitech deerwood chase,sector 50,8.45,235376.0,355.21,Plot area 359(33.35 sq.m.),3,3,2,2.0,North-East,Old Property,,359.0,,1,1,0,0,0,2,102
flat,conscient elevate,sector 59,6.75,19882.0,3395.0,Super Built up area 3395(315.41 sq.m.)Carpet area: 1855 sq.ft. (172.34 sq.m.),4,4,2,10.0,,New Property,3395.0,,1855.0,0,0,0,0,0,0,31
house,emaar mgf marbella,sector 66,8.8,41615.0,2400.35,Built Up area: 267 (223.25 sq.m.),4,4,3+,3.0,South-East,Relatively New,,267.0,,0,1,1,1,0,0,107
house,international city by sobha phase 2,sector 109,6.25,10035.0,6232.3,Plot area 692(578.6 sq.m.),5,7,3+,3.0,North-East,Relatively New,,6228.0,,1,1,1,1,0,0,147
house,independent,sector 56,7.5,23148.0,3239.93,Plot area 360(301.01 sq.m.),8,8,3+,3.0,North-East,Relatively New,,3240.0,,1,1,0,1,0,1,42
house,tata primanti,sector 72,8.6,12285.0,6996.54,Built Up area: 7000 (650.32 sq.m.),4,5,3+,3.0,,Relatively New,,7000.0,,0,0,0,0,0,2,30
flat,mm golfestate,sector 65,6.15,18287.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,23.0,,Moderately old,3363.0,,2710.0,0,0,0,0,0,2,60
house,vipul tatvam villa,sector 48,8.5,26235.0,3239.93,Plot area 360(301.01 sq.m.),4,6,3,3.0,North,Old Property,,3240.0,,0,1,0,1,1,0,49
house,dlf city plots phase 2,sector 25,10.75,29861.0,3595.14,Plot area 400(334.45 sq.m.),9,9,3+,3.0,South-West,Old Property,,3600.0,,0,1,1,1,0,0,73
house,international city by sobha phase 2,sector 109,9.5,26389.0,3595.14,Plot area 400(334.45 sq.m.),5,5,3+,2.0,South,Relatively New,,3600.0,,1,1,1,1,0,0,133
house,international city by sobha phase 1,sector 109,6.15,27333.0,2432.64,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,3.0,West,Relatively New,,270.0,250.0,0,1,1,1,0,2,130
house,independent,sector 31,9.25,39530.0,2389.59,Plot area 265(221.57 sq.m.)Built Up area: 262 sq.yards (219.07 sq.m.)Carpet area: 260 sq.yards (217.39 sq.m.),12,12,3+,4.0,North-East,New Property,,262.0,260.0,0,1,0,1,1,1,49
house,sector 14 rwa,sector 14,6.5,26000.0,2497.22,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,Moderately old,,2500.0,,0,0,0,0,0,0,0
house,dlf city plots phase 2,sector 25,6.3,35000.0,1797.57,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,,1800.0,,0,1,1,0,0,0,89
house,sector 14 rwa,sector 14,6.5,20635.0,3153.82,Plot area 350(292.64 sq.m.),4,4,3+,2.0,,Moderately old,,3150.0,,0,0,0,0,0,0,0
house,manohar nagar,sector 11,5.6,12444.0,4499.31,Plot area 500(418.06 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.),34,34,3+,4.0,,New Property,,500.0,,0,0,0,0,0,2,0
house,independent,sector 43,7.5,38760.0,1937.5,Plot area 215(179.77 sq.m.),12,12,3+,4.0,East,New Property,,1935.0,,1,1,1,1,0,2,72
house,vipul tatvam villa,sector 48,6.4,24691.0,2594.1,Plot area 288(240.8 sq.m.)Built Up area: 240 sq.yards (200.67 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),3,4,3,2.0,North,Relatively New,,240.0,200.0,1,1,1,0,0,2,148
flat,ambience creacions,sector 22,6.16,20533.0,3000.0,Carpet area: 3000 (278.71 sq.m.),4,5,3+,10.0,South-East,New Property,,,3000.0,0,0,0,0,0,2,49
house,emaar emerald hills,sector 65,12.5,34722.0,3595.14,Plot area 400(334.45 sq.m.),4,4,3+,2.0,East,Relatively New,,3600.0,,1,1,0,0,0,0,56
house,ansal sushant lok plots,sector 43,11.5,17692.0,3767.36,Plot area 3762(349.5 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6500 sq.ft. (603.87 sq.m.),7,8,3+,3.0,,Old Property,,9000.0,6500.0,0,1,1,1,0,2,31
house,eldeco mansionz,sector 48,6.4,23704.0,3282.99,Plot area 365(305.19 sq.m.)Built Up area: 366 sq.yards (306.02 sq.m.),4,4,3,3.0,West,Moderately old,,366.0,,0,1,1,0,0,2,151
